model	splits	degree	mEvar	mMAE	mMSE	mMax	mR2	slEvar	slMAE	slMSE	slMax	slR2
LinReg	5	5	0.72	4.64	34.81	22.44	0.67	1.28	3.14	5.16	4.72	1.20
LinReg	5	18	-8063171.10	867.47	984498530.88	345961.06	-8087460.35	0.00	8.38	22.32	14.36	0.00
LinReg	5	14	-10768.50	37.65	1315219.43	12551.44	-10803.33	0.00	5.24	15.70	11.05	0.00
LinReg	5	10	-8.42	6.45	1146.49	319.97	-8.47	0.00	3.47	8.65	7.38	0.00
LinReg	8	2	0.61	5.31	46.56	24.76	0.53	1.59	3.75	5.92	5.29	1.45
LinReg	5	16	-154719.25	133.63	18913651.43	46807.79	-155370.99	0.00	6.50	18.36	12.36	0.00
LinReg	9	2	0.62	5.24	45.22	24.04	0.56	1.72	3.85	6.01	5.38	1.62
LinReg	5	12	-3235.29	27.39	395094.18	6064.78	-3244.67	0.00	4.92	14.50	10.32	0.00
LinReg	3	2	0.66	5.16	41.31	25.03	0.61	0.68	2.74	4.82	4.32	0.60
LinReg	5	6	0.55	4.82	55.99	52.73	0.49	1.01	3.18	5.63	5.57	0.90
LinReg	5	8	0.37	4.84	77.93	72.49	0.31	0.62	3.19	5.97	5.89	0.44
LinReg	5	3	0.72	4.65	34.63	20.59	0.67	1.28	3.15	5.15	4.63	1.21
LinReg	5	13	-15809.28	50.31	1932066.08	13959.07	-15870.60	0.00	5.53	16.08	11.15	0.00
LinReg	6	2	0.67	5.10	40.51	21.62	0.62	1.39	3.42	5.49	4.87	1.31
LinReg	5	7	-0.01	5.08	124.53	91.08	-0.07	0.00	3.24	6.43	6.12	0.00
LinReg	5	19	-33827681.05	1897.58	4129095089.54	699062.10	-33919698.73	0.00	9.16	23.75	15.07	0.00
LinReg	4	2	0.66	5.06	40.20	24.78	0.62	0.98	3.01	5.08	4.60	0.91
LinReg	5	15	-62060.98	105.38	7601833.06	29010.65	-62446.63	0.00	6.27	17.45	11.88	0.00
LinReg	5	1	0.59	5.63	49.90	23.61	0.52	1.08	3.34	5.52	4.77	0.96
LinReg	5	17	-1849794.35	407.67	225960356.10	164402.57	-1856218.64	0.00	7.62	20.85	13.62	0.00
LinReg	5	20	-109360858.53	3203.54	13346422476.40	1292207.79	-109638218.47	0.00	9.68	24.92	15.68	0.00
LinReg	10	2	0.65	5.22	45.24	23.03	0.59	1.87	3.96	6.11	5.44	1.77
LinReg	5	4	0.74	4.52	33.09	20.33	0.68	1.30	3.12	5.11	4.62	1.23
LinReg	2	2	0.67	5.29	43.19	26.72	0.58	0.29	2.36	4.46	3.98	0.16
LinReg	5	2	0.68	5.08	39.94	22.34	0.62	1.22	3.23	5.30	4.72	1.13
LinReg	7	2	0.67	5.03	39.44	21.32	0.62	1.55	3.56	5.62	5.01	1.48
LinReg	5	9	-8.23	5.88	1131.25	306.43	-8.34	0.00	3.38	8.64	7.33	0.00
LinReg	5	11	-391.28	12.24	47892.35	2197.11	-392.48	0.00	4.11	12.39	9.30	0.00
